id,value
id_0,26.375905
id_1,65.334727
id_2,21.442397
id_3,29.398031
id_4,11.005353
id_5,35.229548
id_6,40.855664
id_7,16.682472
id_8,51.828153
id_9,33.420372
id_10,39.420496
id_11,58.404110
id_12,35.960553
id_13,39.655494
id_14,29.093404
id_15,14.094041
id_16,53.796761
id_17,24.056636
id_18,17.043956
id_19,18.693767
id_20,17.096150
id_21,31.611822
id_22,40.703097
id_23,11.133918
id_24,59.719263
id_25,45.301472
id_26,27.774529
id_27,9.345899
id_28,32.146267
id_29,36.370721
id_30,18.359174
id_31,12.375114
id_32,18.016994
id_33,8.297950
id_34,18.096222
id_35,42.724808
id_36,21.015354
id_37,27.656416
id_38,12.584941
id_39,63.134913
id_40,48.786872
id_41,20.060441
id_42,54.055070
id_43,19.547399
id_44,46.067074
id_45,52.234494
id_46,60.549755
id_47,42.288414
id_48,51.804723
id_49,42.033385
id_50,31.044001
id_51,23.996959
id_52,42.436800
id_53,25.525387
id_54,38.838613
id_55,41.630479
id_56,25.594988
id_57,23.391063
id_58,37.458622
id_59,34.634916
id_60,16.087392
id_61,26.202337
id_62,33.758731
id_63,55.583278
id_64,50.196848
id_65,27.404924
id_66,41.116834
id_67,54.305960
id_68,28.188206
id_69,39.452121
id_70,64.577130
id_71,56.883680
id_72,44.248927
id_73,15.333704
id_74,12.973987
id_75,38.028446
id_76,64.911515
id_77,3.333331
id_78,43.586652
id_79,42.042793
id_80,10.475871
id_81,23.019639
id_82,7.799819
id_83,33.688361
id_84,10.589685
id_85,8.937745
id_86,17.721317
id_87,13.156527
id_88,16.447405
id_89,26.533893
id_90,36.677424
id_91,13.318106
id_92,15.020968
id_93,9.643078
id_94,39.455554
id_95,18.498962
id_96,17.775785
id_97,9.309751
id_98,12.595573
id_99,6.851926
id_100,12.630642
id_101,20.373035
id_102,13.177639
id_103,9.942995
id_104,14.660927
id_105,38.277547
id_106,25.852773
id_107,9.144196
id_108,17.771292
id_109,17.137534
id_110,14.078090
id_111,17.514578
id_112,16.362396
id_113,27.415948
id_114,21.983635
id_115,17.861642
id_116,9.441496
id_117,46.313717
id_118,28.169266
id_119,2.920962
id_120,1.075628
id_121,10.806485
id_122,15.548626
id_123,14.298613
id_124,8.481834
id_125,27.315823
id_126,23.640865
id_127,12.141906
id_128,21.462630
id_129,16.695933
id_130,2.116743
id_131,36.293607
id_132,16.649046
id_133,24.462962
id_134,27.697586
id_135,25.156194
id_136,11.441967
id_137,23.437786
id_138,79.947223
id_139,64.803768
id_140,30.310274
id_141,20.417510
id_142,26.002606
id_143,8.630089
id_144,12.829636
id_145,11.657084
id_146,19.875587
id_147,9.467502
id_148,14.469440
id_149,18.684689
id_150,48.648267
id_151,21.901309
id_152,25.283652
id_153,16.200470
id_154,16.964604
id_155,27.327943
id_156,24.965505
id_157,37.610178
id_158,4.145623
id_159,23.055133
id_160,45.076796
id_161,20.353982
id_162,62.507073
id_163,19.376863
id_164,36.335825
id_165,25.391673
id_166,22.238341
id_167,1.048656
id_168,69.793679
id_169,19.299702
id_170,18.518295
id_171,74.478913
id_172,21.976689
id_173,3.292487
id_174,25.092166
id_175,2.901599
id_176,9.305700
id_177,18.757947
id_178,22.368859
id_179,24.520127
id_180,45.155168
id_181,32.342194
id_182,30.910927
id_183,14.890268
id_184,8.770123
id_185,42.293544
id_186,37.585697
id_187,35.910048
id_188,17.150946
id_189,24.776573
id_190,16.635237
id_191,16.885450
id_192,33.235282
id_193,76.613979
id_194,32.190239
id_195,12.992609
id_196,66.175521
id_197,17.916880
id_198,20.305803
id_199,23.329550
id_200,128.912652
id_201,24.657960
id_202,59.522927
id_203,7.418561
id_204,62.052558
id_205,37.058268
id_206,16.218570
id_207,15.213107
id_208,65.444425
id_209,15.810385
id_210,33.599334
id_211,71.624296
id_212,21.905777
id_213,115.613370
id_214,41.545728
id_215,79.115366
id_216,95.132767
id_217,75.099811
id_218,32.775998
id_219,20.229407
id_220,32.564984
id_221,56.815261
id_222,28.290560
id_223,40.530964
id_224,44.453930
id_225,8.388613
id_226,6.026122
id_227,73.240726
id_228,30.034264
id_229,2.455130
id_230,41.279291
id_231,14.214814
id_232,21.856292
id_233,9.258903
id_234,14.438209
id_235,24.977381
id_236,14.354727
id_237,0.406864
id_238,23.431112
id_239,6.004550
